Source,Target,Weight
叶文洁,白沐霖,30
叶文洁,杨卫宁,142
叶文洁,雷志成,48
叶文洁,汪淼,22
叶文洁,杨冬,17
叶文洁,潘寒,10
叶文洁,伊文斯,25
白沐霖,叶文洁,30
雷志成,杨卫宁,27
雷志成,叶文洁,48
杨卫宁,雷志成,27
杨卫宁,叶文洁,142
汪淼,史强,21
汪淼,杨冬,30
汪淼,丁仪,36
汪淼,申玉菲,49
汪淼,魏成,27
汪淼,周文王,30
汪淼,纣王,14
汪淼,叶文洁,22
汪淼,沙瑞山,23
汪淼,牛顿,11
汪淼,诺伊曼,11
史强,汪淼,21
杨冬,汪淼,30
杨冬,叶文洁,17
丁仪,汪淼,36
申玉菲,汪淼,49
申玉菲,潘寒,20
魏成,汪淼,27
潘寒,申玉菲,20
潘寒,叶文洁,10
周文王,汪淼,30
纣王,汪淼,14
沙瑞山,汪淼,23
牛顿,秦始皇,11
牛顿,汪淼,11
牛顿,诺伊曼,13
秦始皇,牛顿,11
秦始皇,诺伊曼,13
诺伊曼,汪淼,11
诺伊曼,牛顿,13
诺伊曼,秦始皇,13
伊文斯,叶文洁,25
